priority,category,source_path,destination,clicks_16mnd,impressions_16mnd,avg_position,notes
A,BOAT_MATCH,/Baater/princess-25m,/boat/princess-25m,67,1316,18.4,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/goldfish-23-tender-mkiii,/boat/goldfish-23-tender-mkiii,66,4767,8.54,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/askeladden-c80-cruiser,/boat/askeladden-c80-cruiser,64,4166,11.54,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/bostrøm-31-mki,/boat/bostrøm-31-mki,64,1699,16.96,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/nimbus-33-nova,/boat/nimbus-33-nova,63,1271,22.32,Match — direct 301 to new /boat/ page
B,BLOG_POST_KEEP,/post/solgt-nordic-star-32,/blog/solgt-nordic-star-32,63,695,5.09,High-traffic blog — migrate to new blog
A,BOAT_MATCH,/Baater/hydrolift-s24-diablo,/boat/hydrolift-s24-diablo,62,2305,7.64,Match — direct 301 to new /boat/ page
A,BOAT_MATCH,/Baater/aquador-26-dc,/boat/aquador-26-dc,62,1683,21.94,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/fairline-squadron-55,/en/Baater/fairline-squadron-55,60,1997,11.6,Bilingual workstream — defer until NO/EN setup
A,BOAT_MATCH,/Baater/bavaria-44-vision,/boat/bavaria-44-vision,56,1199,14.19,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/candela-c-8,/boat/candela-c-8,53,3407,13.26,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/bavaria-40-vision,/boat/bavaria-40-vision,53,3388,35.71,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/fleming-58,/boat/fleming-58,53,1645,12.33,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/nimbus-30s,/boat/nimbus-30s,53,1214,18.6,Match — direct 301 to new /boat/ page
A,BOAT_RECREATE,/Baater/beneteau-41-swift-trawler-sedan,/boat/beneteau-41-swift-trawler-sedan,52,1434,16.62,High-traffic unmatched — RECREATE in HubSpot as sold
A,BOAT_MATCH,/Baater/windy-26-kharma,/boat/windy-26-kharma,51,1033,14.01,Match — direct 301 to new /boat/ page
A,BOAT_MATCH,/Baater/beneteau-figaro-2,/boat/beneteau-figaro-2,51,591,21.26,Match — direct 301 to new /boat/ page
B,BLOG_POST_KEEP,/post/solgt-2000-viksund-290-310-st-cruz,/blog/solgt-2000-viksund-290-310-st-cruz,50,1203,4.92,High-traffic blog — migrate to new blog
B,BOAT_UNMATCHED,/Baater/dufour-385-grand-large,/sold,49,1145,26.18,Medium-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/paragon-31-fly,/en/Baater/paragon-31-fly,48,921,9.02,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/anytec-860-spd,/sold,48,774,20.41,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/windy-37-grand-mistral,/sold,47,2083,12.59,Medium-traffic unmatched — redirect to /sold
A,BOAT_MATCH,/Baater/fairline-phantom-48,/boat/fairline-phantom-48,46,1405,23.45,Match — direct 301 to new /boat/ page
A,BOAT_MATCH,/Baater/nimbus-29-nova,/boat/nimbus-29-nova,46,991,16.24,Match — direct 301 to new /boat/ page
B,SEO_GENERIC,/baatmegler,/om-oss,45,3141,6.81,"Ranks for ""båtmegler"" keyword — redirect to About or home"
C,BLOG_LOW,/post/månedens-båt-white-shark-298,/,44,1225,8.24,Low-value blog — redirect to home
A,BOAT_MATCH,/Baater/paragon-25-cabin,/boat/paragon-25-cabin,42,1460,10.89,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/bavaria-330-sport-ht,/en/Baater/bavaria-330-sport-ht,41,852,14.32,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/boston-whaler-190-outrage,/sold,38,1192,24.74,Medium-traffic unmatched — redirect to /sold
A,BOAT_MATCH,/Baater/askeladden-c83,/boat/askeladden-c83,37,2625,9.21,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/baater,/en/baater,37,1518,9.62,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/nord-west-370-coupé,/sold,36,684,5.79,Medium-traffic unmatched — redirect to /sold
A,BOAT_MATCH,/Baater/nimbus-305-drophead,/boat/nimbus-305-drophead,36,570,10.35,Match — direct 301 to new /boat/ page
C,BLOG_INVENTORY,/post/sargo-25-for-salg,/sold,35,642,8.08,Inventory-related post — redirect to /sold
C,BLOG_LOW,/post/kjøpe-båt-i-utlandet,/,33,5563,33.27,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/fjord-terne-24,/en/Baater/fjord-terne-24,33,987,7.58,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/nimbus-280-coupé,/sold,33,700,22.82,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/jeanneau-so-49-ds,/sold,33,675,24.22,Medium-traffic unmatched — redirect to /sold
A,BOAT_MATCH,/Baater/marex-375,/boat/marex-375,32,1539,9.95,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/sargo-25,/sold,32,1507,10.27,Medium-traffic unmatched — redirect to /sold
A,BOAT_MATCH,/Baater/jeanneau-sun-odyssey-36i,/boat/jeanneau-sun-odyssey-36i,32,470,5.8,Match — direct 301 to new /boat/ page
A,BOAT_MATCH,/Baater/chris-craft-25-corsair,/boat/chris-craft-25-corsair,31,707,13.88,Match — direct 301 to new /boat/ page
A,BOAT_MATCH,/Baater/cormate-t-27,/boat/cormate-t-27,30,1481,12.67,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/bavaria-37-ac,/sold,30,782,15.6,Medium-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/månedens-båt-nimbus-r-serien,/,30,260,17.75,Low-value blog — redirect to home
B,BOAT_MATCH,/Baater/colin-archer-40,/boat/colin-archer-40,29,629,11.79,Match — direct 301 to new /boat/ page
C,BLOG_LOW,/post/månedens-båt-m-y-in-excess,/,28,602,11.61,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/elan-power-35-ht,/en/Baater/elan-power-35-ht,28,521,26.24,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/anker-&-jensen-8mr-1914-carmen-iv,/en/Baater/anker-&-jensen-8mr-1914-carmen-iv,28,314,11.56,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/windy-35-khamsin-2008-d6-370,/sold,27,1023,9.64,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/quicksilver-905-pilothouse,/sold,27,895,10.5,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/axopar-28-open,/boat/axopar-28-open,27,800,9.8,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/marex-370-acc,/boat/marex-370-acc,27,630,11.15,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/marex-360-cc,/boat/marex-360-cc,26,2016,11.62,Match — direct 301 to new /boat/ page
C,BLOG_INVENTORY,/post/solgt-sandvik-945,/sold,26,1336,5.91,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/princess-415,/en/Baater/princess-415,26,405,6.5,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/goldfish-29-sport---2020,/sold,25,3331,22.19,Medium-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/riviera-925-fly,/en/Baater/riviera-925-fly,25,788,8.84,Bilingual workstream — defer until NO/EN setup
B,SEO_LANDING,/kjope-bat,/buy,24,18728,20.46,SEO landing page → /buy
C,SERVICES,/nautibuoy,/,24,13722,11.01,Low traffic — redirect to homepage
B,BOAT_MATCH,/Baater/nordkapp-720-noblesse,/boat/nordkapp-720-noblesse,24,2257,18.22,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/goldfish-28-rib,/boat/goldfish-28-rib,24,1254,20.8,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/goldfish-29-sport,/boat/goldfish-29-sport,24,1089,9.64,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/grand-banks-52-europa,/sold,24,268,10.48,Medium-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/yacht-i-middelhavet-mangusta-92,/,23,2425,6.31,Low-value blog — redirect to home
B,BOAT_UNMATCHED,/Baater/goldfish-30-sport---diesel,/sold,23,1956,8.58,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/fjord-40-open,/boat/fjord-40-open,23,1117,9.25,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/fairline-targa-37,/en/Baater/fairline-targa-37,23,974,7.32,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/ibiza-811-touring,/en/Baater/ibiza-811-touring,23,827,8.71,Bilingual workstream — defer until NO/EN setup
B,BOAT_MATCH,/Baater/bavaria-s36-ht,/boat/bavaria-s36-ht,23,221,9.16,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/elan-37,/boat/elan-37,22,707,27.19,Match — direct 301 to new /boat/ page
C,JOB_POST,/post/kaptein-søkes-til-privat-yacht-ostlandet,/,22,309,17.09,Job post — redirect to home
B,BOAT_MATCH,/Baater/goldfish-38-supersport,/boat/goldfish-38-supersport,21,2451,12.76,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/bayliner-avanti-4085-express-cruiser,/sold,21,533,10.49,Medium-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/hiv-og-hoy-ep-34,/,21,488,16.83,Low-value blog — redirect to home
B,BOAT_MATCH,/Baater/nordkapp-705-enduro,/boat/nordkapp-705-enduro,20,1014,26.67,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/bavaria-35-sport,/boat/bavaria-35-sport,20,537,8.67,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/grandezza-31-oc,/boat/grandezza-31-oc,20,415,8.34,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/grandezza-31-oc,/en/Baater/grandezza-31-oc,20,409,7.24,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/dufour-385-gl,/sold,20,298,9.29,Medium-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/nordic-ocean-craft-catamaran,/en/Baater/nordic-ocean-craft-catamaran,20,232,8.09,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/flipper-760-dc,/sold,19,1337,14.36,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/nimbus-w9,/boat/nimbus-w9,19,554,9.02,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/axopar-25-cross-bow,/boat/axopar-25-cross-bow,19,427,8.32,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/nimbus-250r-mkii,/boat/nimbus-250r-mkii,19,197,15.84,Match — direct 301 to new /boat/ page
C,BLOG_INDEX,/blogg,/,18,14187,10.64,Blog disabled for now — redirect to /
B,BOAT_MATCH,/Baater/goldfish-28-tender,/boat/goldfish-28-tender,18,1726,11.6,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/nimbus-w9-t-top,/boat/nimbus-w9-t-top,18,579,7.37,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/nimbus-300r---2005-modell,/sold,18,317,10.66,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/nimbus-35-nova-ht,/boat/nimbus-35-nova-ht,18,307,12.13,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/hydrolift-c-27,/en/Baater/hydrolift-c-27,17,483,8.47,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/stormway-925-rib-selges,/sold,17,257,12.6,Inventory-related post — redirect to /sold
B,BOAT_UNMATCHED,/Baater/m/y-in-excess,/sold,17,213,11.4,Medium-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/arctic-blue-27-mkii,/,17,187,12.18,Low-value blog — redirect to home
B,BOAT_UNMATCHED,/Baater/1912-anker-&-jensen-9mr-flirt-iv,/sold,17,134,11.57,Medium-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/bavaria-e34-fly-selges,/sold,17,95,19.0,Inventory-related post — redirect to /sold
B,BOAT_UNMATCHED,/Baater/targa-44-fly,/sold,16,1789,8.9,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/goldfish-23-tender---2018,/sold,16,1105,9.8,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/nimbus-t9,/boat/nimbus-t9,16,731,9.85,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/jeanneau-sun-odyssey-519,/boat/jeanneau-sun-odyssey-519,16,571,9.26,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/brig-eagle-8---2022,/boat/brig-eagle-8-2022,16,495,9.12,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/nimbus-35-nova-ht---2008,/sold,16,477,9.07,Medium-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/nimbus-w9,/en/Baater/nimbus-w9,16,475,13.67,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/goldfish-x12-endurance,/sold,15,2379,13.14,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/fairline-targa-37,/boat/fairline-targa-37,15,1476,12.17,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/goldfish-28-bullet-#020,/en/Baater/goldfish-28-bullet-#020,15,1332,8.22,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/azimut-47-fly,/sold,15,866,12.65,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/bavaria-360-sport-open,/boat/bavaria-360-sport-open,15,828,26.22,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/nimbus-320-coupè---2003,/sold,15,499,8.7,Medium-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/prisreduksjon-goldfish-29-sport,/sold,15,236,26.33,Inventory-related post — redirect to /sold
B,SELL_LANDING,/selge-bat,/,14,10199,14.1,Redirect to / (our /sell = /)
C,BLOG_LOW,/post/slik-tar-du-gode-bilder-av-båten,/,14,1057,10.24,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/goldfish-30-sport---diesel,/en/Baater/goldfish-30-sport---diesel,14,936,10.95,Bilingual workstream — defer until NO/EN setup
C,BLOG_CATEGORY,/blogg/categories/ledig-stilling,/,14,589,32.48,Blog category — low traffic
B,BOAT_UNMATCHED,/Baater/ibiza-881-t-special-edition,/sold,14,527,11.26,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/skorgenes-350-fly,/sold,14,396,6.43,Medium-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/prisreduksjon-stormway-925-rib,/sold,14,239,13.41,Inventory-related post — redirect to /sold
C,BLOG_LOW,/post/kronekursen-kan-gjør-båteksport-attraktivt,/,14,175,10.27,Low-value blog — redirect to home
DEFER,ENGLISH,/en/Baater/1912-anker-&-jensen-9mr-flirt-iv,/en/Baater/1912-anker-&-jensen-9mr-flirt-iv,14,141,12.87,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/goldfish-38-sport,/sold,13,1521,15.56,Medium-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/cormate-23-su---2022-shark-grey,/en/Baater/cormate-23-su---2022-shark-grey,13,666,14.74,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/nimbus-280-coupé-for-salg,/sold,13,622,45.45,Inventory-related post — redirect to /sold
B,BOAT_MATCH,/Baater/windy-39-camira,/boat/windy-39-camira,13,591,11.09,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/axopar-37-cabin,/boat/axopar-37-cabin,13,580,8.89,Match — direct 301 to new /boat/ page
C,BLOG_INVENTORY,/post/nimbus-35-nova-ht-for-salg,/sold,13,374,8.81,Inventory-related post — redirect to /sold
DEFER,ENGLISH,/en/Baater/quicksilver-905-pilothouse,/en/Baater/quicksilver-905-pilothouse,13,335,11.74,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/kommer-for-salg-nimbus-300r,/sold,13,313,11.75,Inventory-related post — redirect to /sold
B,BOAT_UNMATCHED,/Baater/grand-banks-47-heritage-eu,/sold,13,214,10.57,Medium-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-goldfish-28-rib,/sold,13,190,25.68,Inventory-related post — redirect to /sold
B,BOAT_UNMATCHED,/Baater/chris-craft-carina-21,/sold,13,180,14.56,Medium-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/beneteau-figaro-2,/en/Baater/beneteau-figaro-2,13,133,24.76,Bilingual workstream — defer until NO/EN setup
B,BOAT_UNMATCHED,/Baater/windy-28-ghibli---2001,/sold,12,569,9.61,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/axopar-37-sports-cabin,/sold,12,569,13.47,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/bavaria-37-cruiser,/boat/bavaria-37-cruiser,12,520,13.22,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/modesty-33-sc,/sold,12,340,10.26,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/azimut-atlantis-40-ht,/sold,12,291,12.49,Medium-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-nimbus-250r-mkii,/sold,12,264,4.14,Inventory-related post — redirect to /sold
B,BOAT_MATCH,/Baater/nimbus-250r,/boat/nimbus-250r,12,171,16.49,Match — direct 301 to new /boat/ page
C,SERVICES,/sail-division,/,11,12668,10.46,Low traffic — redirect to homepage
B,BOAT_UNMATCHED,/Baater/goldfish-30-sport---2022,/sold,11,1663,21.97,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/cormate-35-chase,/sold,11,1368,11.39,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/marex-310-sun-cruiser,/boat/marex-310-sun-cruiser,11,679,13.3,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/windy-28-ghibli-kad-300,/sold,11,527,9.99,Medium-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/Baater/goldfish-23-tender---2018,/en/Baater/goldfish-23-tender---2018,11,407,10.22,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/princess-25m-for-salg,/sold,11,379,20.9,Inventory-related post — redirect to /sold
B,BOAT_MATCH,/Baater/princess-415,/boat/princess-415,11,270,17.25,Match — direct 301 to new /boat/ page
B,BOAT_UNMATCHED,/Baater/saffier-se-33-ud,/sold,11,257,6.81,Medium-traffic unmatched — redirect to /sold
B,BOAT_UNMATCHED,/Baater/marex-360-cc---2022,/sold,11,256,8.3,Medium-traffic unmatched — redirect to /sold
B,BOAT_MATCH,/Baater/jeanneau-cap-camarat-925-wa,/boat/jeanneau-cap-camarat-925-wa,11,224,18.3,Match — direct 301 to new /boat/ page
B,BOAT_MATCH,/Baater/chris-craft-28-corsair,/boat/chris-craft-28-corsair,11,202,9.12,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/sunseeker-44-camargue,/en/Baater/sunseeker-44-camargue,11,195,11.42,Bilingual workstream — defer until NO/EN setup
B,CHARTER,/charter,/charter,10,1311,46.24,Needs page — create or redirect /
B,BOAT_UNMATCHED,/Baater/bavaria-37-cruiser---2006,/sold,10,660,11.41,Medium-traffic unmatched — redirect to /sold
C,BLOG_LOW,/post/romjulsspesial-jon-olsson-selger-båten-sin-og-boot-2023-hoy-pod-ep-3,/,10,570,19.96,Low-value blog — redirect to home
B,BOAT_MATCH,/Baater/sunseeker-44-camargue,/boat/sunseeker-44-camargue,10,268,13.0,Match — direct 301 to new /boat/ page
DEFER,ENGLISH,/en/Baater/dufour-44-performance,/en/Baater/dufour-44-performance,10,190,6.23,Bilingual workstream — defer until NO/EN setup
C,BLOG_INVENTORY,/post/solgt-princess-25m,/sold,10,95,24.89,Inventory-related post — redirect to /sold
C,BLOG_INVENTORY,/post/solgt-comtesse-liberty,/sold,10,70,6.66,Inventory-related post — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/nimbus-c11,/sold,9,855,18.0,Low-traffic unmatched — redirect to /sold
C,BLOG_INVENTORY,/post/quicksilver-905-pilothouse-for-salg,/sold,9,722,33.37,Inventory-related post — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/capelli-tempest-1000,/sold,9,569,10.16,Low-traffic unmatched — redirect to /sold
C,BOAT_UNMATCHED_LOW,/Baater/hydrolift-x-26-s---400r,/sold,9,520,9.27,Low-traffic unmatched — redirect to /sold
DEFER,ENGLISH,/en/om-oss,/en/om-oss,9,424,35.19,Bilingual workstream — defer until NO/EN setup
DEFER,ENGLISH,/en/Baater/colin-archer-40,/en/Baater/colin-archer-40,9,231,10.08,Bilingual workstream — defer until NO/EN setup
C,BOAT_UNMATCHED_LOW,/Baater/nordkapp-grand-coupe-905---2x300hk,/sold,9,208,10.12,Low-traffic unmatched — redirect to /sold
