wix_title,wix_url,wix_merke,wix_modell,wix_year,wix_updated,orig_match_status,new_match_type,new_candidates
Beneteau Figaro 2,beneteau-figaro-2,Beneteau,Figaro 2,2003,2022-06-08,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951015646 name=""Beneteau Figaro 2"" created=2023-02-01 ||| BO id=351443310800 name=""Beneteau Figaro 2"" path=beneteau-figaro-2 year=None"
Nordkapp 905 Grand Coupe,nordkapp-905-grand-coupe,Nordkapp,905 Gran Coupe,2021,2025-08-26,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=152330405088 name=""Nordkapp 905 grand coupe"" created=2025-05-16 ||| CO_EXACT id=220533151948 name=""Nordkapp 905 Grand Coupe"" created=2025-08-20 ||| CO_EXACT id=224693000381 name=""Nordkapp 905 Grand Coupe"" created=2025-08-26 ||| CO_LOOSE id=223571558598 name=""Nordkapp 905 Gran Coupe"" created=2025-08-25 ||| CO_LOOSE id=223571558598 name=""Nordkapp 905 Gran Coupe"" created=2025-08-25 ||| BO id=351443214549 name=""Nordkapp 905 grand coupe"" path=nordkapp-905-grand-coupe year=2023 ||| BO id=351443262703 name=""Nordkapp 905 Grand Coupe"" path=nordkapp-905-grand-coupe-2 year=2021 ||| BO id=351446935767 name=""Nordkapp 905 Grand Coupe"" path=nordkapp-905-grand-coupe-3 year=2021"
Marex 375,marex-375,Marex,375,2021,2023-04-16,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950997729 name=""Marex 375"" created=2023-02-01 ||| BO id=351482888417 name=""Marex 375"" path=marex-375 year=None"
Goldfish 28 Bullet #020,goldfish-28-bullet-%23020,Goldfish,28 Bullet,2020,2025-06-18,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=107115276479 name=""Goldfish 28 Bullet"" created=2025-02-28 ||| CO_LOOSE id=116472478919 name=""Goldfish 28 Bullet"" created=2025-03-18 ||| CO_LOOSE id=175243087045 name=""Goldfish 28 Bullet"" created=2025-06-17"
Goldfish 29 Sport,goldfish-29-sport,Goldfish,29 Sport,2018,2020-06-05,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6949536716 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_EXACT id=6951005935 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_EXACT id=6951018971 name=""Goldfish 29 Sport"" created=2023-02-01 ||| CO_EXACT id=161780091092 name=""Goldfish 29 sport"" created=2025-05-27 ||| CO_EXACT id=162977692916 name=""Goldfish 29 Sport"" created=2025-05-28 ||| CO_EXACT id=224116056284 name=""Goldfish 29 Sport"" created=2025-08-26 ||| CO_EXACT id=226418056381 name=""Goldfish 29 Sport"" created=2025-08-28 ||| BO id=351443213561 name=""Goldfish 29 Sport"" path=goldfish-29-sport year=None ||| BO id=351443201214 name=""Goldfish 29 Sport"" path=goldfish-29-sport-2 year=None ||| BO id=351459866843 name=""Goldfish 29 Sport"" path=goldfish-29-sport-3 year=None"
Nimbus 230 R,nimbus-230-r,Nimbus,230 R,2003,2019-07-18,MULTIPLE_SIG_CANDIDATES,none,
Nordkapp Airborne 7,nordkapp-airborne-7,Nordkapp,Airborne 7,2021,2023-04-16,MULTIPLE_SIG_CANDIDATES,none,
Goldfish 28 Tender Merc 400R,goldfish-28-tender-merc-400r,Goldfish,28 Tender,2017,2025-05-20,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6950960827 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951144380 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6950987196 name=""Goldfish 28 Tender"" created=2023-02-01"
Nimbus 300R - 2005 modell,nimbus-300r---2005-modell,Nimbus,300R,2005,2022-06-08,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6951010289 name=""Nimbus 300R"" created=2023-02-01 ||| CO_LOOSE id=6950983399 name=""Nimbus 300R"" created=2023-02-01 ||| CO_LOOSE id=6951018974 name=""Nimbus 300R"" created=2023-02-01"
Hanse 355,hanse-355,Hanse,355,2011,2021-06-30,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950960832 name=""Hanse 355"" created=2023-02-01 ||| BO id=351443141855 name=""Hanse 355"" path=hanse-355 year="
Nimbus 300R,nimbus-300r,Nimbus,300R,2005,2020-02-03,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951010289 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6950983399 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6951018974 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6951018711 name=""Nimbus 300R "" created=2023-02-01 ||| CO_EXACT id=6949571542 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6950976464 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949571545 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949571537 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949587691 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=6949587695 name=""Nimbus 300R"" created=2023-02-01 ||| CO_EXACT id=13179203558 name=""Nimbus 300R"" created=2024-08-05 ||| BO id=351443213549 name=""Nimbus 300R"" path=nimbus-300r-2 year=None ||| BO id=351443213554 name=""Nimbus 300R"" path=nimbus-300r-3 year=None ||| BO id=351443213556 name=""Nimbus 300R"" path=nimbus-300r year=None"
Bavaria 37 Cruiser,bavaria-37-cruiser,Bavaria,37 Cruiser,2006,2019-05-15,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950960831 name=""Bavaria 37 Cruiser"" created=2023-02-01 ||| CO_EXACT id=6951005932 name=""Bavaria 37 Cruiser"" created=2023-02-01 ||| CO_EXACT id=6949571547 name=""Bavaria 37 Cruiser"" created=2023-02-01 ||| CO_EXACT id=6950952421 name=""Bavaria 37 Cruiser"" created=2023-02-01 ||| CO_EXACT id=161779874036 name=""Bavaria 37 Cruiser"" created=2025-05-27 ||| CO_EXACT id=172782879944 name=""Bavaria 37 Cruiser"" created=2025-06-13 ||| CO_EXACT id=217690269888 name=""Bavaria 37 Cruiser"" created=2025-08-19 ||| BO id=351443213550 name=""Bavaria 37 Cruiser"" path=bavaria-37-cruiser year=None ||| BO id=351443141841 name=""Bavaria 37 Cruiser"" path=bavaria-37-cruiser-3 year=None ||| BO id=351443141849 name=""Bavaria 37 Cruiser"" path=bavaria-37-cruiser-2 year=None"
Windy 35 Khamsin,windy-35-khamsin,Windy,35 Khamsin,2007,2023-07-15,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=135948581074 name=""Windy 35 Khamsin"" created=2025-04-23 ||| BO id=351443214533 name=""Windy 35 Khamsin"" path=windy-35-khamsin year=2008"
Goldfish 28 Tender #001,goldfish-28-tender-%23001,Goldfish,28 Tender,2011,2025-06-11,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6950960827 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951144380 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6950987196 name=""Goldfish 28 Tender"" created=2023-02-01"
Windy 7500,windy-7500,Windy,7500,2000,2020-04-22,SIGNATURE_MATCH_ONLY,none,
Bavaria 40 Cruiser,bavaria-40-cruiser,Bavaria,40 Cruiser,2011,2019-06-05,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950952422 name=""Bavaria 40 Cruiser"" created=2023-02-01 ||| CO_EXACT id=227291758809 name=""Bavaria 40 Cruiser"" created=2025-09-01 ||| BO id=351443141854 name=""Bavaria 40 Cruiser"" path=bavaria-40-cruiser year=None ||| BO id=351443263681 name=""Bavaria 40 Cruiser"" path=bavaria-40-cruiser-2 year=2012"
Bavaria 40 Vision,bavaria-40-vision,Bavaria,40 Vision,2008,2022-07-05,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951010285 name=""Bavaria 40 Vision"" created=2023-02-01 ||| BO id=351443310801 name=""Bavaria 40 Vision"" path=bavaria-40-vision year=None"
Goldfish 23 Tender - 2018,goldfish-23-tender---2018,Goldfish,23 Tender,2018,2023-04-16,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6951015645 name=""Goldfish 23 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951018704 name=""Goldfish 23 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951018708 name=""Goldfish 23 Tender"" created=2023-02-01"
Dufour 44 Performance,dufour-44-performance,Dufour,44 Performance,2006,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=119243691251 name=""Dufour 44 Performance"" created=2025-03-21 ||| CO_EXACT id=211970578673 name=""Dufour 44 performance"" created=2025-08-08 ||| BO id=351419698408 name=""Dufour 44 Performance"" path=dufour-44-performance year=None ||| BO id=351419699394 name=""Dufour 44 performance"" path=dufour-44-performance-2 year=2006"
Windy 28 Ghibli - 2001,windy-28-ghibli---2001,Windy,28 Ghibli,2001,2025-08-08,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6950952419 name=""Windy 28 Ghibli"" created=2023-02-01 ||| CO_LOOSE id=11487537856 name=""Windy 28 Ghibli"" created=2024-05-01 ||| CO_LOOSE id=13565988841 name=""Windy 28 Ghibli"" created=2024-08-29"
Nimbus 33 Nova,nimbus-33-nova,Nimbus,33 Nova,2003,2020-05-20,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950949067 name=""Nimbus 33 Nova"" created=2023-02-01 ||| CO_EXACT id=130786632939 name=""Nimbus 33 Nova"" created=2025-04-16 ||| CO_EXACT id=178802526434 name=""Nimbus 33 Nova"" created=2025-06-24 ||| BO id=351388463332 name=""Nimbus 33 Nova"" path=nimbus-33-nova year=None ||| BO id=351443293420 name=""Nimbus 33 Nova"" path=nimbus-33-nova-2 year=2003 ||| BO id=351481095403 name=""Nimbus 33 Nova"" path=nimbus-33-nova-3 year=2003"
Beneteau MC6S,beneteau-mc6s,Beneteau,MC6S,2017,2023-07-28,MULTIPLE_SIG_CANDIDATES,none,
Nimbus 35 Nova HT,nimbus-35-nova-ht,Nimbus,35 Nova HT,2005,2019-10-24,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6949536720 name=""Nimbus 35 Nova HT"" created=2023-02-01 ||| CO_EXACT id=6950960829 name=""Nimbus 35 Nova HT"" created=2023-02-01 ||| CO_EXACT id=6950987195 name=""Nimbus 35 Nova HT"" created=2023-02-01 ||| BO id=351443213551 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht year=None ||| BO id=351443141858 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht-2 year=None ||| BO id=351482888429 name=""Nimbus 35 Nova HT"" path=nimbus-35-nova-ht-3 year=None"
Hydrolift X-32S R,hydrolift-x-32s-r,Hydrolift,X-32S-R,2021,2025-09-12,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=224693022936 name=""Hydrolift X-32S R"" created=2025-08-26 ||| BO id=351446935769 name=""Hydrolift X-32S R"" path=hydrolift-x-32s-r year=2021"
Timeless Nordic,timeless-34-nordic,Timeless,Nordic,2018,2025-05-07,NO_MATCH_IN_HUBSPOT,none,
Beneteau Oceanis 37,beneteau-oceanis-37,Beneteau,Oceanis 37,2012,2025-10-30,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=166495654084 name=""Beneteau Oceanis 37"" created=2025-06-04 ||| CO_LOOSE id=230697351363 name=""Beneteau Oceanis 37 2008"" created=2025-09-04 ||| BO id=351484720341 name=""Beneteau Oceanis 37"" path=beneteau-oceanis-37 year=2010"
Goldfish 38 SuperSport,goldfish-38-supersport,Goldfish,38 Supersport,2016,2024-08-30,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=127251357901 name=""Goldfish 38 Supersport"" created=2025-04-07 ||| BO id=351414280426 name=""Goldfish 38 Supersport"" path=goldfish-38-supersport year=2018"
Fairline Targa 37,fairline-targa-37,Fairline,Targa 37,1999,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=176139690173 name=""Fairline Targa 37"" created=2025-06-19 ||| BO id=351480934644 name=""Fairline Targa 37"" path=fairline-targa-37 year=1997"
Nimbus W9 - 2020,nimbus-w9---2020,Nimbus,W9,2020,2025-10-02,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=236497644790 name=""Nimbus W9"" created=2025-09-16 ||| CO_LOOSE id=236497644790 name=""Nimbus W9"" created=2025-09-16"
Axopar 37 Cabin,axopar-37-cabin,Axopar,37 Cabin,2018,2020-02-03,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=211176330480 name=""Axopar 37 Cabin"" created=2025-07-30 ||| BO id=351419699406 name=""Axopar 37 Cabin"" path=axopar-37-cabin year=2019"
Ibiza 811 Touring,ibiza-811-touring,Ibiza,811 Touring,2017,2026-01-05,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=128740487404 name=""Ibiza 811 Touring"" created=2025-04-10 ||| CO_EXACT id=167641697495 name=""Ibiza 811 Touring"" created=2025-06-05 ||| CO_EXACT id=167641709768 name=""Ibiza 811 Touring"" created=2025-06-05 ||| CO_EXACT id=255765822672 name=""Ibiza 811 Touring"" created=2025-10-07 ||| BO id=351388463341 name=""Ibiza 811 Touring"" path=ibiza-811-touring year=2018 ||| BO id=351361855717 name=""Ibiza 811 Touring"" path=ibiza-811-touring-3 year=2019 ||| BO id=351361855723 name=""Ibiza 811 Touring"" path=ibiza-811-touring-2 year=2022"
Bavaria S36 HT,bavaria-s36-ht,Bavaria,S36 HT,2020,2025-05-19,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=12409397726 name=""Bavaria S36 HT"" created=2024-06-17 ||| CO_EXACT id=257934666960 name=""Bavaria S36 HT"" created=2025-10-10 ||| BO id=351456244953 name=""Bavaria S36 HT"" path=bavaria-s36-ht year=2020 ||| BO id=350048534758 name=""Bavaria S36 HT"" path=bavaria-s36-ht-2 year=2020"
Anker & Jensen 8mR 1914 Carmen IV,anker-%26-jensen-8mr-1914-carmen-iv,Anker & Jensen,8mR,1914,2021-12-28,NO_MATCH_IN_HUBSPOT,none,
Goldfish 28 Tender #057,goldfish-28-tender-%23057,Goldfish,28 Tender,2022,2025-10-30,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6950960827 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951144380 name=""Goldfish 28 Tender"" created=2023-02-01 ||| CO_LOOSE id=6950987196 name=""Goldfish 28 Tender"" created=2023-02-01"
Windy 44 Chinook,windy-44-chinook,Windy,44 Chinook,2010,2019-07-16,MULTIPLE_SIG_CANDIDATES,none,
Windy 35 Khamsin 2008 D6-370,windy-35-khamsin-2008-d6-370,Windy,35 Khamsin,2008,2025-08-08,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=135948581074 name=""Windy 35 Khamsin"" created=2025-04-23 ||| CO_LOOSE id=135948581074 name=""Windy 35 Khamsin"" created=2025-04-23"
Jeanneau Sun Odyssey 36i,jeanneau-sun-odyssey-36i,Jeanneau,Sun Odyssey 36i,2008,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=120504938701 name=""Jeanneau Sun Odyssey 36i"" created=2025-03-24 ||| BO id=351484733677 name=""Jeanneau Sun Odyssey 36i"" path=jeanneau-sun-odyssey-36i year=None"
Nimbus T9,nimbus-t9,Nimbus,T9,2019,2025-10-02,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=13575908075 name=""Nimbus T9"" created=2024-08-30 ||| CO_EXACT id=149828785359 name=""Nimbus T9"" created=2025-05-14 ||| BO id=351484705016 name=""Nimbus T9"" path=nimbus-t9 year=2019 ||| BO id=351390252281 name=""Nimbus T9"" path=nimbus-t9-2 year=2022"
Cormate 35 Chase,cormate-35-chase,Cormate,35 Chase,2023,2025-09-08,MULTIPLE_SIG_CANDIDATES,none,
Baltic Kragerø 34,baltic-krager%C3%B8-34,Baltic Marine,Kragerø Trebåtbyggeri 34,2002,2025-08-08,NO_MATCH_IN_HUBSPOT,none,
Lagoon 52 F,lagoon-52-f,Lagoon,52F,2018,2025-10-13,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=127093661916 name=""Lagoon 52F"" created=2025-04-07 ||| CO_LOOSE id=127093661916 name=""Lagoon 52F"" created=2025-04-07"
Goldfish 30 Sport #16,goldfish-30-sport-%2316,Goldfish,30 Sport,2021,2025-04-25,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=10378409207 name=""Goldfish 30 Sport"" created=2024-03-01 ||| CO_LOOSE id=10727408600 name=""Goldfish 30 Sport"" created=2024-03-20 ||| CO_LOOSE id=205710877882 name=""Goldfish 30 Sport"" created=2025-08-04"
Jeanneau SO 49 DS,jeanneau-so-49-ds,Jeanneau,Sun Odyssey 49 DS,2005,2020-02-06,SIGNATURE_MATCH_ONLY,none,
Askeladden C80 Cruiser,askeladden-c80-cruiser,Askeladden,C80 Cruiser,2021,2024-06-06,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=7226510778 name=""Askeladden c80 Cruiser"" created=2023-03-23 ||| CO_EXACT id=236444828897 name=""Askeladden C80 Cruiser "" created=2025-09-15 ||| BO id=351481028825 name=""Askeladden c80 Cruiser"" path=askeladden-c80-cruiser year=2021 ||| BO id=351443185880 name=""Askeladden C80 Cruiser "" path=askeladden-c80-cruiser-2 year=2021"
Nimbus 30s,nimbus-30s,Nimbus,30S,2008,2019-05-15,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951144181 name=""Nimbus 30S"" created=2023-02-01 ||| BO id=351459866845 name=""Nimbus 30S"" path=nimbus-30s year=None"
Axopar 28 Open,axopar-28-open,Axopar,28 Open,2019,2020-06-05,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951010286 name=""Axopar 28 Open"" created=2023-02-01 ||| CO_EXACT id=12502061552 name=""Axopar 28 Open"" created=2024-06-24 ||| CO_EXACT id=152330404058 name=""Axopar 28 open"" created=2025-05-16 ||| CO_EXACT id=173084138732 name=""Axopar 28 Open"" created=2025-06-12 ||| CO_EXACT id=175474256094 name=""Axopar 28 open"" created=2025-06-18 ||| CO_LOOSE id=7365936570 name=""Axopar 28 Open - 2017"" created=2023-04-14 ||| BO id=351443310785 name=""Axopar 28 Open"" path=axopar-28-open year=None ||| BO id=351479119062 name=""Axopar 28 Open"" path=axopar-28-open-2 year=2019 ||| BO id=351390252279 name=""Axopar 28 open"" path=axopar-28-open-3 year=2020"
Goldfish 23 Tender 2017,goldfish-23-tender-2017,Goldfish,23 Tender,2017,2020-09-12,MULTIPLE_SIG_CANDIDATES,company_loose,"CO_LOOSE id=6951015645 name=""Goldfish 23 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951018704 name=""Goldfish 23 Tender"" created=2023-02-01 ||| CO_LOOSE id=6951018708 name=""Goldfish 23 Tender"" created=2023-02-01"
Nimbus 250R,nimbus-250r,Nimbus,250R,2005,2020-06-26,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6951010283 name=""Nimbus 250R"" created=2023-02-01 ||| CO_EXACT id=6949571539 name=""Nimbus 250R"" created=2023-02-01 ||| CO_EXACT id=6950952418 name=""Nimbus 250R"" created=2023-02-01 ||| CO_EXACT id=6951001538 name=""Nimbus 250R"" created=2023-02-01 ||| CO_EXACT id=6949587687 name=""Nimbus 250R"" created=2023-02-01 ||| CO_EXACT id=6949571541 name=""Nimbus 250R"" created=2023-02-01 ||| BO id=351443213547 name=""Nimbus 250R"" path=nimbus-250r-2 year=None ||| BO id=351443213557 name=""Nimbus 250R"" path=nimbus-250r year=None ||| BO id=351388463324 name=""Nimbus 250R"" path=nimbus-250r-3 year=None"
Nordkapp 760 Noblesse,nordkapp-760-noblesse,Nordkapp,760 Noblesse,2011,2021-04-16,SIGNATURE_MATCH_ONLY,none,
Princess 25M,princess-25m,Princess,25M,2003,2021-05-03,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950983400 name=""Princess 25m"" created=2023-02-01 ||| BO id=351482888418 name=""Princess 25m"" path=princess-25m year=None"
Beneteau 41 Swift Trawler Sedan,beneteau-41-swift-trawler-sedan,Beneteau,41 Swift Trawler Sedan,2021,2025-09-12,MULTIPLE_SIG_CANDIDATES,none,
Sandvik 945,sandvik-945,Sandvik,945,2012,2025-07-23,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=6950983402 name=""Sandvik 945"" created=2023-02-01 ||| CO_EXACT id=111106950379 name=""Sandvik 945"" created=2025-03-06 ||| BO id=351482888434 name=""Sandvik 945"" path=sandvik-945 year=None ||| BO id=351443171557 name=""Sandvik 945"" path=sandvik-945-2 year=2012"
Goldfish 30 Sport #002,goldfish-30-sport,Goldfish,30 Sport,2021,2025-09-08,EXACT_SLUG_PLUS_SIG_DUPES,company_loose,"CO_LOOSE id=10378409207 name=""Goldfish 30 Sport"" created=2024-03-01 ||| CO_LOOSE id=10727408600 name=""Goldfish 30 Sport"" created=2024-03-20 ||| CO_LOOSE id=205710877882 name=""Goldfish 30 Sport"" created=2025-08-04"
Axopar 37,axopar-37-,Axopar,37,2018,2020-02-03,MULTIPLE_SIG_CANDIDATES,none,
Marex 360 CC,marex-360-cc,Marex,360 CC,2021,2024-08-30,EXACT_SLUG_PLUS_SIG_DUPES,company_exact,"CO_EXACT id=167650783435 name=""Marex 360 CC"" created=2025-06-06 ||| CO_LOOSE id=324504408252 name=""Marex 360 CC (Danmark) "" created=2025-12-03 ||| BO id=350048534723 name=""Marex 360 CC"" path=marex-360-cc year=2021"
Beneteau Swift Trawler 34,beneteau-swift-trawler-34,Beneteau,Swift Trawler 34,2011,2020-02-03,MULTIPLE_SIG_CANDIDATES,none,
